Pais,continente,Ano,Expectativa de vida,Pop Total,PIB,Renda-per-capita
Afghanistan,Asia,1952,28.801,8425333,779.4453145,9.251210777069583e-05
Afghanistan,Asia,1957,30.332,9240934,820.8530296,8.88279290383418e-05
Afghanistan,Asia,1962,31.997,10267083,853.1007099999998,8.309085550394399e-05
Afghanistan,Asia,1967,34.02,11537966,836.1971382,7.247353114058405e-05
Afghanistan,Asia,1972,36.088,13079460,739.9811057999998,5.657581473547071e-05
Afghanistan,Asia,1977,38.438,14880372,786.11336,5.282887820277611e-05
Afghanistan,Asia,1982,39.854,12881816,978.0114388,7.592186061344145e-05
Afghanistan,Asia,1987,40.822,13867957,852.3959447999998,6.14651418950895e-05
Afghanistan,Asia,1992,41.674,16317921,649.3413952000002,3.9793144923302434e-05
Afghanistan,Asia,1997,41.76300000000001,22227415,635.341351,2.8583681503224734e-05
Afghanistan,Asia,2002,42.129,25268405,726.7340548,2.876058282269894e-05
Afghanistan,Asia,2007,43.828,31889923,974.5803384,3.056076173028075e-05
Albania,Europe,1952,55.23,1282697,1601.056136,0.0012481951201257975
Albania,Europe,1957,59.28,1476505,1942.284244,0.0013154606614945428
Albania,Europe,1962,64.82,1728137,2312.888958,0.0013383712969515728
Albania,Europe,1967,66.22,1984060,2760.196931,0.0013911862196707761
Albania,Europe,1972,67.69,2263554,3313.422188,0.0014638140676122592
Albania,Europe,1977,68.93,2509048,3533.003910000001,0.0014081053491204636
Albania,Europe,1982,70.42,2780097,3630.880722,0.0013060266321642735
Albania,Europe,1987,72.0,3075321,3738.932735,0.0012157861683381994
Albania,Europe,1992,71.581,3326498,2497.437901,0.0007507709011098158
Albania,Europe,1997,72.95,3428038,3193.054604,0.0009314525113198862
Albania,Europe,2002,75.65100000000002,3508512,4604.211737,0.0013122975600482483
Albania,Europe,2007,76.423,3600523,5937.029525999998,0.0016489353146751176
Algeria,Africa,1952,43.077,9279525,2449.008185,0.0002639152526664889
Algeria,Africa,1957,45.685,10270856,3013.976023,0.0002934493505701959
Algeria,Africa,1962,48.303,11000948,2550.81688,0.00023187246044613607
Algeria,Africa,1967,51.407,12760499,3246.991771,0.00025445648880972443
Algeria,Africa,1972,54.518,14760787,4182.663766,0.00028336319506541214
Algeria,Africa,1977,58.014,17152804,4910.416756000001,0.00028627487121056137
Algeria,Africa,1982,61.368,20033753,5745.160213,0.00028677403644738954
Algeria,Africa,1987,65.79899999999999,23254956,5681.358539,0.0002443074301667137
Algeria,Africa,1992,67.744,26298373,5023.216647,0.00019100864707485897
Algeria,Africa,1997,69.152,29072015,4797.295051,0.00016501419151716866
Algeria,Africa,2002,70.994,31287142,5288.040382,0.0001690164087854365
Algeria,Africa,2007,72.301,33333216,6223.367465,0.0001867016811399176
Angola,Africa,1952,30.015,4232095,3520.610273,0.0008318835642867184
Angola,Africa,1957,31.999,4561361,3827.940465,0.0008392101535046229
Angola,Africa,1962,34.0,4826015,4269.276742,0.000884638100378884
Angola,Africa,1967,35.985,5247469,5522.776375,0.001052464793026886
Angola,Africa,1972,37.928,5894858,5473.288004999999,0.0009284851314484588
Angola,Africa,1977,39.483,6162675,3008.647355,0.000488204773900944
Angola,Africa,1982,39.942,7016384,2756.953672,0.00039293084186954423
Angola,Africa,1987,39.906,7874230,2430.208311,0.0003086280577275492
Angola,Africa,1992,40.647,8735988,2627.845685,0.0003008069247576805
Angola,Africa,1997,40.963,9875024,2277.140884,0.00023059598477937875
Angola,Africa,2002,41.003,10866106,2773.287312,0.0002552236571224319
Angola,Africa,2007,42.731,12420476,4797.231267,0.00038623570199725033
Argentina,Americas,1952,62.485,17876956,5911.315053,0.00033066675629788426
Argentina,Americas,1957,64.399,19610538,6856.8562120000015,0.0003496516113938333
Argentina,Americas,1962,65.142,21283783,7133.166023000002,0.0003351455905653615
Argentina,Americas,1967,65.634,22934225,8052.953020999998,0.0003511325549915028
Argentina,Americas,1972,67.065,24779799,9443.038526,0.0003810780921185035
Argentina,Americas,1977,68.48100000000001,26983828,10079.02674,0.00037352101191869436
Argentina,Americas,1982,69.942,29341374,8997.897412,0.0003066624423246164
Argentina,Americas,1987,70.774,31620918,9139.671389,0.0002890387745542365
Argentina,Americas,1992,71.868,33958947,9308.41871,0.00027410799015646745
Argentina,Americas,1997,73.275,36203463,10967.28195,0.00030293461015041574
Argentina,Americas,2002,74.34,38331121,8797.640716,0.0002295169169719821
Argentina,Americas,2007,75.32,40301927,12779.37964,0.00031709103239654023
